# ----------------------------------------,,,,,,,
# cornellsun.com,,,,,,,
# Demographics: Age,,,,,,,
# 20161108-20171129,,,,,,,
# ----------------------------------------,,,,,,,
,,Total,18-24,25-34,45-54,35-44,55-64
45-54,"""Men‰Ûªs Hockey Incoming Freshman Selected By New York Rangers in NHL Draft | The Cornell Daily Sun""",483,0,0,483,0,0
55-64,"""Deer Dies in Cornell Graduate Student Office After Leaping Through Rockefeller Hall Window | The Cornell Daily Sun""",483,0,0,0,0,483
65+,"""Football Upsets Princeton Thanks to Last Minute Field Goal, Moves Into 1st in League | The Cornell Daily Sun""",483,0,0,0,0,0
18-24,"""After Years of Complaints and Litigation, Cornell‰Ûªs Policy 6.4 Still Stands | The Cornell Daily Sun""",476,476,0,0,0,0
18-24,"""Editorial: Sun Endorses for S.A. President, EVP | The Cornell Daily Sun""",476,476,0,0,0,0
18-24,"""Ithaca Man Found Guilty of Murder on Cornell‰Ûªs Campus | The Cornell Daily Sun""",476,476,0,0,0,0
18-24,"""New Development Plans Could Bring Closing Time to The Nines | The Cornell Daily Sun""",476,476,0,0,0,0
18-24,"""Overlooked and Unaddressed: Students Recount Fighting Ableism on Campus | The Cornell Daily Sun""",476,476,0,0,0,0
25-34,"""Arrest Made After Body Found at Cornell Construction Site in Collegetown | The Cornell Daily Sun""",476,0,476,0,0,0
25-34,"""CORNELL CLOSE-UPS | Prof. David Gries Shares Cornell History of Programming, Reacts to Facebook Memes | The Cornell Daily Sun""",476,0,476,0,0,0
25-34,"""The Emoji Movie is a Smiling Pile of Poo | The Cornell Daily Sun""",476,0,476,0,0,0
35-44,"""Cornell Tech Strikes Deal With Ferrero International | The Cornell Daily Sun""",476,0,0,0,476,0
35-44,"""Foreign Government-Sponsored Hackers Breached ILR School in 2014 to Exact ‰Û÷Revenge‰Ûª Against U.S. | The Cornell Daily Sun""",476,0,0,0,476,0
55-64,"""County Legislature Candidate Was Accused of Rape While at Cornell | The Cornell Daily Sun""",476,0,0,0,0,476
55-64,"""Former Fraternity House Vandalized Following Possible Hate Crime | The Cornell Daily Sun""",476,0,0,0,0,476
55-64,"""Microbiologist Cornell Alumna Returns for Daily Double on Jeopardy!‰Ûªs Tournament of Champions | The Cornell Daily Sun""",476,0,0,0,0,476
18-24,"""How Do the French Stay So Skinny? | The Cornell Daily Sun""",469,469,0,0,0,0
18-24,"""Ithaca Indian Restaurants Ranked | The Cornell Daily Sun""",469,469,0,0,0,0
18-24,"""Judge Halts Suspension After Student Alleges ‰Û÷Perverse and Bizarre‰Ûª Title IX Outcome | The Cornell Daily Sun""",469,469,0,0,0,0
18-24,"""Students Protest Santorum‰Ûªs Visit, Calling Politician‰Ûªs Policies ‰Û÷Racist,‰Ûª ‰Û÷Anti-Gay‰Ûª | The Cornell Daily Sun""",469,469,0,0,0,0
18-24,"""Women‰Ûªs March on Ithaca Draws More than 8,000, Shattering Expectations | The Cornell Daily Sun""",469,469,0,0,0,0
25-34,"""Do They Really Float Down Here? | The Cornell Daily Sun""",469,0,469,0,0,0
35-44,"""Cornell Appoints First Muslim Chaplain | The Cornell Daily Sun""",469,0,0,0,469,0
35-44,"""Cornell Student Converts Old School Bus Into Solar Powered Home | The Cornell Daily Sun""",469,0,0,0,469,0
35-44,"""West Campus Residents ‰Û÷Stunned‰Ûª by Use of N-Word at House Dinner | The Cornell Daily Sun""",469,0,0,0,469,0
45-54,"""Fraternity Member Allegedly Chants ‰Û÷Build a Wall‰Ûª Near Latino Living Center | The Cornell Daily Sun""",469,0,0,469,0,0
18-24,"""Cornell Senior Awarded International Affairs Fellowship | The Cornell Daily Sun""",462,462,0,0,0,0
18-24,"""Letter to the Editor: In response to the article ‰Û÷Anti-Semitic Posters Appear at Cornell Advertising Apparently Fake Hate Group‰Ûª | The Cornell Daily Sun""",462,462,0,0,0,0
18-24,"""Students Divided Over Swiped Pro-Tibet Signs Depicting Self-immolation | The Cornell Daily Sun""",462,462,0,0,0,0
18-24,"""Students Return to Incomplete Collegetown Apartments | The Cornell Daily Sun""",462,462,0,0,0,0
18-24,"""The Return of Sushi to Cornell Dining | The Cornell Daily Sun""",462,462,0,0,0,0
18-24,"""WANG | Wall Street and Walmart | The Cornell Daily Sun""",462,462,0,0,0,0
25-34,"""A Quick Guide to (Some of) the Best Brunch Spots in Ithaca | The Cornell Daily Sun""",462,0,462,0,0,0
25-34,"""Minivan Explodes Near Beebe Lake | The Cornell Daily Sun""",462,0,462,0,0,0
25-34,"""Winless No Longer: Defense Dominates as Football Downs Harvard for 1st Time in 12 Years | The Cornell Daily Sun""",462,0,462,0,0,0
35-44,"""Alien Covenant: A Requiem to Prequels | The Cornell Daily Sun""",462,0,0,0,462,0
45-54,"""Charles Tan ‰Ûª17 Decides to Leave Cornell After Murder Charge Against Him is Dropped | The Cornell Daily Sun""",462,0,0,462,0,0
45-54,"""Wrestling the Right Way: The Rise of Cornell‰Ûªs Two-Time NCAA Champion Gabe Dean | The Cornell Daily Sun""",462,0,0,462,0,0
55-64,"""Police Charge Cornell Student With Additional Misdemeanor in Collegetown Assault | The Cornell Daily Sun""",462,0,0,0,0,462
55-64,"""The Not So Old West: The Magnificent Seven Updated | The Cornell Daily Sun""",462,0,0,0,0,462
18-24,"""Emmy-Winning Creator of Community, Rick and Morty Dan Harmon to Visit Cornell | The Cornell Daily Sun""",455,455,0,0,0,0
18-24,"""LETTER TO THE EDITOR | Cayuga‰Ûªs Waiters Alumni respond to hazing allegations against on-campus group | The Cornell Daily Sun""",455,455,0,0,0,0
18-24,"""Live Blog: Men‰Ûªs Hockey vs. UMass Lowell in NCAAs | The Cornell Daily Sun""",455,455,0,0,0,0
18-24,"""Schwartz Plaza Remodel to Create ‰Û÷Urban Plaza‰Ûª in Collegetown | The Cornell Daily Sun""",455,455,0,0,0,0
18-24,"""Student Trustee Candidates Debate Cornell Policy Initiatives, Response to Immigration Ban | The Cornell Daily Sun""",455,455,0,0,0,0
18-24,"""TRUSTEE VIEWPOINT | No New Friends | The Cornell Daily Sun""",455,455,0,0,0,0
18-24,"""Wegmans Hacks: $15 for a Week‰Ûªs Groceries | The Cornell Daily Sun""",455,455,0,0,0,0
25-34,"""Cornell Considering Need-Aware Admissions for Transfers, Additional Controversial Measures | The Cornell Daily Sun""",455,0,455,0,0,0
25-34,"""Incoming Cornell Tech Executive-in-Residence to Step Down From Position at Apple | The Cornell Daily Sun""",455,0,455,0,0,0
25-34,"""Weed Stench Not Enough to Search Pedestrians in Tompkins County, Judge Says | The Cornell Daily Sun""",455,0,455,0,0,0
45-54,"""Lambda Chi Alpha Fraternity Suspended, Second Fraternity Suspension This Month | The Cornell Daily Sun""",455,0,0,455,0,0
55-64,"""EDITORIAL: A Reckoning After Hate in Collegetown | The Cornell Daily Sun""",455,0,0,0,0,455
55-64,"""Fifth Greek Organization Suspended Since Start of Semester | The Cornell Daily Sun""",455,0,0,0,0,455
18-24,"""Hedge Fund Run by Seth Klarman ‰Ûª79 Owns Nearly $1 Billion in Puerto Rican Debt | The Cornell Daily Sun""",447,447,0,0,0,0
18-24,"""Men‰Ûªs Hockey Skates Past Union, 4-1, for Spot in ECAC Finals Against Harvard | The Cornell Daily Sun""",447,447,0,0,0,0
18-24,"""Three Cornellians Honored as Schwarzman Scholars | The Cornell Daily Sun""",447,447,0,0,0,0
25-34,"""Charles Tan ‰Ûª17 Decides to Leave Cornell After Murder Charge Against Him is Dropped | The Cornell Daily Sun""",447,0,447,0,0,0
25-34,"""Cornell Food Lab Conducting Internal Review After Report Alleging 150 Data Inconsistencies | The Cornell Daily Sun""",447,0,447,0,0,0
25-34,"""Police Arrest 2 Suspected of Cornell Campus Backpack Thefts | The Cornell Daily Sun""",447,0,447,0,0,0
25-34,"""Washington City Council Candidate Accused of Lying About Cornell Degree | The Cornell Daily Sun""",447,0,447,0,0,0
25-34,"""Wegmans Hacks: $15 for a Week‰Ûªs Groceries | The Cornell Daily Sun""",447,0,447,0,0,0
35-44,"""Prosecutor Charges White Cornell Student With Hate Crime for Allegedly Assaulting Black Student | The Cornell Daily Sun""",447,0,0,0,447,0
35-44,"""Women‰Ûªs March on Ithaca Draws More than 8,000, Shattering Expectations | The Cornell Daily Sun""",447,0,0,0,447,0
45-54,"""CORNELL CLOSE-UPS | Professor Shares Beauty of Math with Students Traumatized by Subject | The Cornell Daily Sun""",447,0,0,447,0,0
45-54,"""Dean Stunned in Finals as Wrestling Fails to Meet Goals at NCAAs | The Cornell Daily Sun""",447,0,0,447,0,0
45-54,"""Judge Halts Suspension After Student Alleges ‰Û÷Perverse and Bizarre‰Ûª Title IX Outcome | The Cornell Daily Sun""",447,0,0,447,0,0
18-24,"""8 Texts, 2 Stories, 1 Investigator: Inside a Cornell Title IX Case | The Cornell Daily Sun""",440,440,0,0,0,0
18-24,"""Following Security Concerns, Cornell Political Union Makes Controversial Event Private | The Cornell Daily Sun""",440,440,0,0,0,0
25-34,"""Arts & Entertainment | The Cornell Daily Sun""",440,0,440,0,0,0
25-34,"""Make it a True Daily Double! Cornell Alumna Wins Over $100,000 on Jeopardy | The Cornell Daily Sun""",440,0,440,0,0,0
25-34,"""Pollack Reverses Cornell Decision, Reinstates International Student Work Program | The Cornell Daily Sun""",440,0,440,0,0,0
25-34,"""SEX ON THURSDAY | How to Give Mind-Blowing Head | The Cornell Daily Sun""",440,0,440,0,0,0
45-54,"""Joe Biden Tells Cornell Seniors: ‰Û÷Go Out and Wake Us Up‰Ûª | The Cornell Daily Sun""",440,0,0,440,0,0
65+,"""Police Searching for Missing Cornell Student | The Cornell Daily Sun""",440,0,0,0,0,0
18-24,"""Former Student Pleads Not-Guilty to Federal Gun Charges | The Cornell Daily Sun""",433,433,0,0,0,0
18-24,"""Student Assembly Reverses Committee Decision to Cut Women‰Ûªs Resource Center Funding | The Cornell Daily Sun""",433,433,0,0,0,0
18-24,"""STUDENT STORIES | Aronson ‰Ûª19 Wins Food Network‰Ûªs Chopped | The Cornell Daily Sun""",433,433,0,0,0,0
25-34,"""Fifty Shades Darker Deserves a Little More Punishment | The Cornell Daily Sun""",433,0,433,0,0,0
25-34,"""Three Cornell Professors Make Watchlist for Liberal Bias | The Cornell Daily Sun""",433,0,433,0,0,0
35-44,"""Cornell Alumni Purchase ‰Û÷Wings Over‰Ûª Franchise After Reviving Ithaca Restaurant | The Cornell Daily Sun""",433,0,0,0,433,0
35-44,"""How the Pumpkin Got on the Tower! | The Cornell Daily Sun""",433,0,0,0,433,0
35-44,"""The Emoji Movie is a Smiling Pile of Poo | The Cornell Daily Sun""",433,0,0,0,433,0
35-44,"""Vengalattore v. Cornell: A Timeline | The Cornell Daily Sun""",433,0,0,0,433,0
45-54,"""Police Arrest 2 Suspected of Cornell Campus Backpack Thefts | The Cornell Daily Sun""",433,0,0,433,0,0
45-54,"""Women‰Ûªs March on Ithaca Draws More than 8,000, Shattering Expectations | The Cornell Daily Sun""",433,0,0,433,0,0
18-24,"""Casares Rosa‰Ûªs Heroics Secure Men‰Ûªs Tennis Share of Ivy Title for 2nd in Program History | The Cornell Daily Sun""",426,426,0,0,0,0
18-24,"""Cornell Dems Dispute Republicans‰Ûª Claim that ‰Û÷Obama Was a Failed President‰Ûª | The Cornell Daily Sun""",426,426,0,0,0,0
18-24,"""Cornell University Police Wearing Body Cameras, Hope to Increase Student Trust | The Cornell Daily Sun""",426,426,0,0,0,0
18-24,"""Greenwood ‰Ûª20 ‰Û÷Never Touched‰Ûª Victim and Plans to Return to Cornell, Lawyer Says | The Cornell Daily Sun""",426,426,0,0,0,0
18-24,"""Provocative Art Adorns Willard Straight Hall During Takeover | The Cornell Daily Sun""",426,426,0,0,0,0
18-24,"""The Cornell Daily Sun Welcomes Its 135th Editorial Board | The Cornell Daily Sun""",426,426,0,0,0,0
25-34,"""How Do the French Stay So Skinny? | The Cornell Daily Sun""",426,0,426,0,0,0
25-34,"""STANTON | Wanting More From Louis C.K. In 2017 | The Cornell Daily Sun""",426,0,426,0,0,0
35-44,"""Man Arrested by ICE in Ithaca Must Remain in Marshals‰Ûª Custody, Judge Rules | The Cornell Daily Sun""",426,0,0,0,426,0
45-54,"""Cornell Student Remembered for Her ‰Û÷Passion for Inclusivity‰Ûª | The Cornell Daily Sun""",426,0,0,426,0,0
45-54,"""Cuomo‰Ûªs Free Tuition Plan Will Apply to Cornell‰Ûªs Contract Colleges, But With a Caveat | The Cornell Daily Sun""",426,0,0,426,0,0
45-54,"""Sigma Phi Epsilon Placed on Interim Suspension | The Cornell Daily Sun""",426,0,0,426,0,0
45-54,"""Student Who Says He Attempted Suicide During Title IX Investigation Sues Cornell | The Cornell Daily Sun""",426,0,0,426,0,0
55-64,"""Expelled Cornell Student Used Fake Grades to Gain Admission to 3 Colleges | The Cornell Daily Sun""",426,0,0,0,0,426
55-64,"""Live Blog: Men‰Ûªs Hockey vs. UMass Lowell in NCAAs | The Cornell Daily Sun""",426,0,0,0,0,426
65+,"""Psi Upsilon to Immediately Close Cornell Chapter, Will Open House to Student Groups | The Cornell Daily Sun""",426,0,0,0,0,0
18-24,"""Creator of Balance Bracelet, Steven Izen ‰Ûª13 Named on Forbes‰Ûª 30 Under 30 | The Cornell Daily Sun""",419,419,0,0,0,0
18-24,"""GUEST ROOM | Let‰Ûªs Get Down to Business | The Cornell Daily Sun""",419,419,0,0,0,0
18-24,"""Ithaca Man Charged With Murder of Anthony Nazaire | The Cornell Daily Sun""",419,419,0,0,0,0
18-24,"""Men‰Ûªs Hockey Punches Ticket To Lake Placid With Resilient Game 3 Win | The Cornell Daily Sun""",419,419,0,0,0,0
18-24,"""Panel Asks: Is Christianity Inclusive of Homosexuality? | The Cornell Daily Sun""",419,419,0,0,0,0
18-24,"""Undergraduate Tuition to Rise 3.75 Percent, Endowed Colleges‰Ûª Sticker Price Now $52,612 | The Cornell Daily Sun""",419,419,0,0,0,0
25-34,"""3 Cornell Pitchers Selected in 2017 MLB Draft | The Cornell Daily Sun""",419,0,419,0,0,0
25-34,"""Man Accused of Walmart Murder Says He Killed Donald Trump | The Cornell Daily Sun""",419,0,419,0,0,0
25-34,"""Pro-Palestine Protesters Disrupt Celebration of Israel Independence Day | The Cornell Daily Sun""",419,0,419,0,0,0
35-44,"""Black Lives Matter Protests Racial ‰Û÷Trumpism‰Ûª | The Cornell Daily Sun""",419,0,0,0,419,0
45-54,"""Judge Orders Cornell to Review Tenure Denial for ‰Û÷World-Class‰Ûª Professor | The Cornell Daily Sun""",419,0,0,419,0,0
45-54,"""Milliman‰Ûªs Message Is Simple: We Need to Be Playing Better Lacrosse | The Cornell Daily Sun""",419,0,0,419,0,0
55-64,"""Football Upsets Princeton Thanks to Last Minute Field Goal, Moves Into 1st in League | The Cornell Daily Sun""",419,0,0,0,0,419
55-64,"""Washington City Council Candidate Accused of Lying About Cornell Degree | The Cornell Daily Sun""",419,0,0,0,0,419
65+,"""Microbiologist Cornell Alumna Returns for Daily Double on Jeopardy!‰Ûªs Tournament of Champions | The Cornell Daily Sun""",419,0,0,0,0,0
18-24,"""A Guide to Cornell Food Courses | The Cornell Daily Sun""",412,412,0,0,0,0
18-24,"""An Amusing Tradition for Most, a Nuisance for Others: Fish and Cornell-Harvard Hockey | The Cornell Daily Sun""",412,412,0,0,0,0
18-24,"""Chemistry Professor, Evolution Expert Who Serenaded Students, Dies at 80 | The Cornell Daily Sun""",412,412,0,0,0,0
18-24,"""Electronics Allegedly Stolen in Beta Theta Pi Fraternity House Burglary | The Cornell Daily Sun""",412,412,0,0,0,0
18-24,"""GLANZEL | Cornell and ‰Û÷Diversity‰Ûª | The Cornell Daily Sun""",412,412,0,0,0,0
18-24,"""Moana: Gorgeous Animation, Expansive Mythology and a Captivating Culture | The Cornell Daily Sun""",412,412,0,0,0,0
18-24,"""NYS Dive Team Finds Body of Missing Person in Ithaca Falls Gorge | The Cornell Daily Sun""",412,412,0,0,0,0
18-24,"""Prosecutors to Present Hate Crime Law to Grand Jury in Collegetown Assault Case | The Cornell Daily Sun""",412,412,0,0,0,0
18-24,"""Rawlings Promises Cornell Will ‰Û÷Support and Defend‰Ûª Undocumented Students | The Cornell Daily Sun""",412,412,0,0,0,0
18-24,"""Winless No Longer: Football Downs Harvard for 1st Time in 12 Years | The Cornell Daily Sun""",412,412,0,0,0,0
25-34,"""Ithaca Man Charged With Murder of Anthony Nazaire | The Cornell Daily Sun""",412,0,412,0,0,0
25-34,"""Judge Halts Suspension After Student Alleges ‰Û÷Perverse and Bizarre‰Ûª Title IX Outcome | The Cornell Daily Sun""",412,0,412,0,0,0
25-34,"""Live Blog: Men‰Ûªs Hockey vs. UMass Lowell in NCAAs | The Cornell Daily Sun""",412,0,412,0,0,0
25-34,"""Police Release Mugshot of Cornell Student Arrested Following Collegetown Assault | The Cornell Daily Sun""",412,0,412,0,0,0
45-54,"""Cornell Student Converts Old School Bus Into Solar Powered Home | The Cornell Daily Sun""",412,0,0,412,0,0
45-54,"""County Legislature Candidate Was Accused of Rape While at Cornell | The Cornell Daily Sun""",412,0,0,412,0,0
55-64,"""‰Û÷The James Bond of Philanthropy‰Ûª Culminates Career with $7M Donation to C.U. | The Cornell Daily Sun""",412,0,0,0,0,412
55-64,"""How Do the French Stay So Skinny? | The Cornell Daily Sun""",412,0,0,0,0,412
65+,"""Suspect in Walmart Homicide Holed up in Residence After Shooting at Police | The Cornell Daily Sun""",412,0,0,0,0,0
18-24,"""Football Dominates Brown, Stifling Bears in Blowout Homecoming Victory | The Cornell Daily Sun""",405,405,0,0,0,0
18-24,"""Graduate Students Issue Demands to Cornell Administrators | The Cornell Daily Sun""",405,405,0,0,0,0
18-24,"""Graduate Students: CGSU Coerces Members With ‰Û÷Emotional Blackmail‰Ûª | The Cornell Daily Sun""",405,405,0,0,0,0
18-24,"""Ithaca‰Ûªs Wegmans to Implement Grocery Delivery Service | The Cornell Daily Sun""",405,405,0,0,0,0
18-24,"""Sisters Create ‰Û÷Ithaca Women Are Nasty‰Ûª T-Shirts to Raise Money for Planned Parenthood | The Cornell Daily Sun""",405,405,0,0,0,0
18-24,"""Student Assembly Candidates Square Off at Debate | The Cornell Daily Sun""",405,405,0,0,0,0
18-24,"""Winless No Longer: Defense Dominates as Football Downs Harvard for 1st Time in 12 Years | The Cornell Daily Sun""",405,405,0,0,0,0
25-34,"""College-Age Woman Struck by Car on Cornell Campus | The Cornell Daily Sun""",405,0,405,0,0,0
35-44,"""Joe Biden Tells Cornell Seniors: ‰Û÷Go Out and Wake Us Up‰Ûª | The Cornell Daily Sun""",405,0,0,0,405,0
35-44,"""Lawsuit Alleges Bias in University Sexual Assault Investigation | The Cornell Daily Sun""",405,0,0,0,405,0
45-54,"""SEX ON THURSDAY | A Guide to Road Head | The Cornell Daily Sun""",405,0,0,405,0,0
55-64,"""Ithaca Rated Top College Town in United States | The Cornell Daily Sun""",405,0,0,0,0,405
18-24,"""Employee Assembly Debates Cornell Snow Day Policy | The Cornell Daily Sun""",398,398,0,0,0,0
18-24,"""Ithaca Police Arrest Student for Possible Hate Crime in Collegetown | The Cornell Daily Sun""",398,398,0,0,0,0
18-24,"""LETTER TO THE EDITOR: This is not ‰Û÷us versus them‰Ûª | The Cornell Daily Sun""",398,398,0,0,0,0
18-24,"""Man Accused of Shooting, Running Over UPS Driver Is in Custody After 5-Hour Standoff | The Cornell Daily Sun""",398,398,0,0,0,0
25-34,"""Beta Theta Pi Brothers Break Guinness Record | The Cornell Daily Sun""",398,0,398,0,0,0
25-34,"""Football Upsets Princeton Thanks to Last Minute Field Goal, Moves Into 1st in League | The Cornell Daily Sun""",398,0,398,0,0,0
25-34,"""New Development Plans Could Bring Closing Time to The Nines | The Cornell Daily Sun""",398,0,398,0,0,0
25-34,"""RIP Synapsis (2008-2017): Students React to Impending Closure of Beloved Eatery | The Cornell Daily Sun""",398,0,398,0,0,0
25-34,"""S.A. Appropriations Committee Votes to Defund Cornell Cinema | The Cornell Daily Sun""",398,0,398,0,0,0
25-34,"""Student Who Says He Attempted Suicide During Title IX Investigation Sues Cornell | The Cornell Daily Sun""",398,0,398,0,0,0
25-34,"""The Lobster: You‰Ûªve Been Warned | The Cornell Daily Sun""",398,0,398,0,0,0
35-44,"""Men‰Ûªs Hockey Incoming Freshman Selected By New York Rangers in NHL Draft | The Cornell Daily Sun""",398,0,0,0,398,0
35-44,"""Wrestling the Right Way: The Rise of Cornell‰Ûªs Two-Time NCAA Champion Gabe Dean | The Cornell Daily Sun""",398,0,0,0,398,0
45-54,"""Definitive Rankings of All Eateries on Campus | The Cornell Daily Sun""",398,0,0,398,0,0
65+,"""Hundreds ‰Û÷Rickrolled‰Ûª in Mysterious Campus Prank at Cornell | The Cornell Daily Sun""",398,0,0,0,0,0
18-24,"""IFC Welcomes First Muslim-Interest Fraternity | The Cornell Daily Sun""",391,391,0,0,0,0
18-24,"""The Demise of the Trillium Salad | The Cornell Daily Sun""",391,391,0,0,0,0
18-24,"""Tornado Watch, Severe Thunderstorm Warning Issued for Tompkins County | The Cornell Daily Sun""",391,391,0,0,0,0
25-34,"""JONES | SNL and the Normalization of Donald Trump | The Cornell Daily Sun""",391,0,391,0,0,0
25-34,"""Sex Offense in Cornell Fraternity Leads to Probation for Chapter‰Ûªs Ex-president | The Cornell Daily Sun""",391,0,391,0,0,0
35-44,"""Alpha Xi Delta Sorority Suspended; First Sorority Suspension in 5 Years | The Cornell Daily Sun""",391,0,0,0,391,0
35-44,"""EDITORIAL: Donald Trump is Not Cornell | The Cornell Daily Sun""",391,0,0,0,391,0
45-54,"""How the Pumpkin Got on the Tower! | The Cornell Daily Sun""",391,0,0,391,0,0
45-54,"""Nor‰Ûªeaster Expected to Drop Up to 15 Inches of Snow on Ithaca | The Cornell Daily Sun""",391,0,0,391,0,0
55-64,"""Cornell Sees 10 Percent Boom in Early Decision Applications | The Cornell Daily Sun""",391,0,0,0,0,391
55-64,"""Joe Biden Tells Cornell Seniors: ‰Û÷Go Out and Wake Us Up‰Ûª | The Cornell Daily Sun""",391,0,0,0,0,391
18-24,"""Spinning Singles: The Lumineers, ‰ÛÏOphelia‰Ûù | The Cornell Daily Sun""",384,384,0,0,0,0
18-24,"""Winter Storm Brings 28-Hour Shutdown To Cornell | The Cornell Daily Sun""",384,384,0,0,0,0
25-34,"""Cornell Microbiology Professor Dies at 64 | The Cornell Daily Sun""",384,0,384,0,0,0
25-34,"""Cornell Now Has More Active Title IX Investigations Than Any Other University | The Cornell Daily Sun""",384,0,384,0,0,0
25-34,"""EDITORIAL: No Endorsement! | The Cornell Daily Sun""",384,0,384,0,0,0
25-34,"""Man Arrested by ICE in Ithaca Must Remain in Marshals‰Ûª Custody, Judge Rules | The Cornell Daily Sun""",384,0,384,0,0,0
25-34,"""RUSSELL | The Stewart Avenue Junkie Network | The Cornell Daily Sun""",384,0,384,0,0,0
45-54,"""How Do the French Stay So Skinny? | The Cornell Daily Sun""",384,0,0,384,0,0
55-64,"""Men‰Ûªs Hockey Punches Ticket To Lake Placid With Resilient Game 3 Win | The Cornell Daily Sun""",384,0,0,0,0,384
55-64,"""Students Clash Over Morality of Meat Consumption | The Cornell Daily Sun""",384,0,0,0,0,384
65+,"""Standing Rock Chairman Calls Protests an ‰Û÷Awakening‰Ûª at Cornell | The Cornell Daily Sun""",384,0,0,0,0,0
18-24,"""70 Cornell Professors Protest Drexel‰Ûªs Suspension of its Professor | The Cornell Daily Sun""",376,376,0,0,0,0
18-24,"""Charges Dismissed Against Former Cornell Basketball Player Accused of Sexual Assault | The Cornell Daily Sun""",376,376,0,0,0,0
18-24,"""City Narrowly Votes Against Designating Chacona Block as Historic Landmark | The Cornell Daily Sun""",376,376,0,0,0,0
18-24,"""Former Employee Pleads Guilty to Embezzling $360K From Cornell, DA Says | The Cornell Daily Sun""",376,376,0,0,0,0
18-24,"""Fraser ‰Ûª17 Invited to Bears, 49ers Rookie Minicamps | The Cornell Daily Sun""",376,376,0,0,0,0
18-24,"""GOULDTHORPE | One Year After Gravity Falls, I Look Back Fondly | The Cornell Daily Sun""",376,376,0,0,0,0
18-24,"""SEX ON THURSDAY | Have You Ever Had a Threesome With Your Best Friend? | The Cornell Daily Sun""",376,376,0,0,0,0
18-24,"""The Grand Tour: In Hot Pursuit of Top Gear | The Cornell Daily Sun""",376,376,0,0,0,0
25-34,"""Cornell Athletics to Maintain Relationship With Nike in Separate Contract | The Cornell Daily Sun""",376,0,376,0,0,0
25-34,"""LETTER TO THE EDITOR | In Defense of Campus Diversity | The Cornell Daily Sun""",376,0,376,0,0,0
25-34,"""LETTER TO THE EDITOR | Looking in the Locker Room Mirror | The Cornell Daily Sun""",376,0,376,0,0,0
25-34,"""Santorum Calls Protests Disrupting Lecture Sign of ‰Û÷Liberal Intolerance‰Ûª at Cornell | The Cornell Daily Sun""",376,0,376,0,0,0
25-34,"""Thousands Without Power in Ithaca, Collegetown | The Cornell Daily Sun""",376,0,376,0,0,0
35-44,"""‰Û÷The James Bond of Philanthropy‰Ûª Culminates Career with $7M Donation to C.U. | The Cornell Daily Sun""",376,0,0,0,376,0
35-44,"""Arrest Made After Body Found at Cornell Construction Site in Collegetown | The Cornell Daily Sun""",376,0,0,0,376,0
35-44,"""Cornell Suspends Third Fraternity in Just Over One Month | The Cornell Daily Sun""",376,0,0,0,376,0
35-44,"""Moment of Silence to Honor Business Student Who Died This Week | The Cornell Daily Sun""",376,0,0,0,376,0
35-44,"""Power Restored After Collegetown, Ithaca Plunged Into Darkness | The Cornell Daily Sun""",376,0,0,0,376,0
45-54,"""Black Lives Matter Protests Racial ‰Û÷Trumpism‰Ûª | The Cornell Daily Sun""",376,0,0,376,0,0
45-54,"""Chris Savino, Cartoon Brew, and How NOT to Respond to Sexual Violence | The Cornell Daily Sun""",376,0,0,376,0,0
45-54,"""Foreign Government-Sponsored Hackers Breached ILR School in 2014 to Exact ‰Û÷Revenge‰Ûª Against U.S. | The Cornell Daily Sun""",376,0,0,376,0,0
45-54,"""ILR Senior Up for Election in Hometown | The Cornell Daily Sun""",376,0,0,376,0,0
55-64,"""Winter Storm Stella Closes Cornell Campus | The Cornell Daily Sun""",376,0,0,0,0,376
55-64,"""Wrestling the Right Way: The Rise of Cornell‰Ûªs Two-Time NCAA Champion Gabe Dean | The Cornell Daily Sun""",376,0,0,0,0,376
65+,"""Hundreds of Cornell Students Occupy Willard Straight Hall After Delivering Demands to University | The Cornell Daily Sun""",376,0,0,0,0,0
65+,"""The Solar Eclipse: What To Expect, Safety Tips, And More | The Cornell Daily Sun""",376,0,0,0,0,0
18-24,"""Academic Calendar Changes Approved by Provost | The Cornell Daily Sun""",369,369,0,0,0,0
18-24,"""Charles Tan ‰Ûª17 Decides to Leave Cornell After Murder Charge Against Him is Dropped | The Cornell Daily Sun""",369,369,0,0,0,0
18-24,"""Josh Peck, of Nickelodeon‰Ûªs Drake and Josh, to Speak at Cornell | The Cornell Daily Sun""",369,369,0,0,0,0
18-24,"""Live Blog: Men‰Ûªs Hockey vs. Harvard in ECAC Finals | The Cornell Daily Sun""",369,369,0,0,0,0
18-24,"""Prof. Johnson Remembered as Passionate, Caring, ‰Û÷a Professor‰Ûªs Professor‰Ûª | The Cornell Daily Sun""",369,369,0,0,0,0
18-24,"""Raisman Highlights Jewish Identity, Body Positivity, Role of Family in Talk at Cornell | The Cornell Daily Sun""",369,369,0,0,0,0
18-24,"""Spidey Swings Home | The Cornell Daily Sun""",369,369,0,0,0,0
18-24,"""TEST SPIN ‰ÛÓ Without Warning: Offset x 21 Savage x Metro Boomin | The Cornell Daily Sun""",369,369,0,0,0,0
18-24,"""Trillium vs. Terrace | The Cornell Daily Sun""",369,369,0,0,0,0
18-24,"""Washington City Council Candidate Accused of Lying About Cornell Degree | The Cornell Daily Sun""",369,369,0,0,0,0
